Year,Player Name,GP,GS,Min.,GF,GA,SO*,GAA,W-L-T,Caps/SO
2019,"Franch, Adrianna",3,2,225,10,2,1,0.8,1-0-1,3/1
2019,"Harris, Ashlyn",5,3,315,7,0,2,0,3-0-0,24/8
2019,"Naeher, Alyssa",19,19,1620,60,12,9,0.78,16-1-2,57/30
2018,"Campbell, Jane",1,1,67,5,2,0,2.69,1-0-0,3/0
2018,"Franch, Adrianna",0,0,0,0,0,0,,0,0/0
2018,"Harris, Ashlyn",5,4,383,13,1,3,0.23,4-0-0,19/6
2018,"Naeher, Alyssa",15,15,1350,47,7,9,0.47,13-0-2,38/21
2017,"Campbell, Jane",2,0,61,2,0,0,0,0-0-0,2/0
2017,"Harris, Ashlyn",3,3,209,9,2,0,0.86,2-1-0,14/3
2017,"Naeher, Alyssa",13,13,"1,170",29,11,6,0.85,10-2-1,23/12
2016,"Harris, Ashlyn",3,3,270,22,2,1,0.67,3-0-0,11/3
2016,"Naeher, Alyssa",6,5,495,26,1,4,0.18,5-0-0,10/6
2016,"Solo, Hope",17,17,1501,44,7,12,0.45,14-0-3,202/102
2015,"Harris, Ashlyn",4,3,270,7,2,1*,0.67,2-1-0,8/2
2015,"Naeher, Alyssa",3,2,180,6,1,1^,0.5,1-0-0,4/2
2015,"Solo, Hope",23,22,1890,61,9,12*^,0.43,17-1-4,185/90