,Year,Name,Pos.,GP,GS,Min,G,A,Y,R,Caps,Goals
0,2015,"Boxx, Shannon",M,9,2,219,0,1,0,0,195,27
1,2015,"Brian, Morgan",M,24,19,1663,1,2,1,0,43,4
2,2015,"Chalupny, Lori",D,11,5,503,2,1,0,0,106,10
3,2015,"Dunn, Crystal",D,8,6,488,4,3,1,0,20,4
4,2015,"Engen, Whitney",D,6,3,381,1,1,0,0,29,4
5,2015,"Harris, Ashlyn",GK,4,3,270,0,0,0,0,8,0
6,2015,"Heath, Tobin",M,21,13,1180,1,3,1,0,106,12
7,2015,"Hinkle, Jaelene",D,4,0,155,0,0,0,0,4,0
8,2015,"Holiday, Lauren",M,19,17,1468,1,6,2,0,133,24
9,2015,"Horan, Lindsey",F,4,3,294,1,3,1,0,6,1
10,2015,"Johnston, Julie",D,21,21,1679,5,1,1,0,26,5
11,2015,"Klingenberg, Meghan",D,26,23,1970,2,1,0,0,50,3
12,2015,"Krieger, Ali",D,22,18,1580,0,2,0,0,79,1
13,2015,"Leroux, Sydney",F,11,4,467,2,2,0,0,75,35
14,2015,"Lewandowski, Gina",D,1,0,17,0,0,0,0,1,0
15,2015,"Lloyd, Carli",M,26,24,2073,18,5,2,0,211,79
16,2015,"McCaffrey, Stephanie",F,4,0,101,1,1,0,0,4,1
17,2015,"Mewis, Samantha",M,1,0,19,0,0,0,0,4,0
18,2015,"Morgan, Alex",F,22,19,1547,7,0,1,0,99,56
19,2015,"Naeher, Alyssa",GK,3,1,180,0,0,0,0,4,0
20,2015,"O'Hara, Kelley",D,17,8,705,1,2,0,0,69,1
21,2015,"O'Reilly, Heather",M,12,4,453,5,2,0,0,227,46
22,2015,"Press, Christen",F,20,13,1159,10,4,0,0,55,29
23,2015,"Rampone, Christie",D,7,2,300,0,0,0,0,311,4
24,2015,"Rapinoe, Megan",M,17,14,983,2,9,2,0,113,31
25,2015,"Rodriguez, Amy",F,15,5,589,2,3,0,0,129,30
26,2015,"Sauerbrunn, Becky",D,25,25,2184,0,0,1,0,96,0
27,2015,"Solo, Hope",GK,23,22,1890,0,0,0,0,185,0
28,2015,"Sonnett, Emily",D,4,1,170,0,0,0,0,4,0
29,2015,"Van Hollebeke, Rachel",D,1,1,90,0,0,0,0,113,5
30,2015,"Wambach, Abby",F,23,10,979,7,4,0,0,255,184
0,2016,"Brian, Morgan",M,20,18,1467,2,5,0,0,63,6
1,2016,"Dahlkemper, Abby",M,2,0,43,0,0,0,0,2,0
2,2016,"Dunn, Crystal",F,25,17,1494,14,8,1,0,45,18
3,2016,"Engen, Whitney",D,11,5,507,0,0,0,0,40,4
4,2016,"Harris, Ashlyn",GK,3,3,270,0,0,0,0,11,0
5,2016,"Hatch, Ashley",F,1,0,16,0,0,0,0,1,0
6,2016,"Heath, Tobin",M,22,20,1747,6,8,1,0,128,18
7,2016,"Hinkle, Jaelene",D,4,1,165,0,0,0,0,8,0
8,2016,"Horan, Lindsey",M,24,14,1195,2,5,1,0,30,3
9,2016,"Johnston, Julie",D,19,15,1345,3,1,2,0,45,8
10,2016,"Klingenberg, Meghan",D,20,18,1562,0,4,1,0,70,3
11,2016,"Krieger, Ali",D,17,7,792,0,0,1,0,96,1
12,2016,"Lloyd, Carli",M,21,20,1644,17,11,1,0,232,96
13,2016,"Long, Allie",M,16,14,1191,3,2,1,0,20,3
14,2016,"McCaffrey, Stephanie",F,2,1,135,0,1,0,0,6,1
15,2016,"McDonald, Jessica",F,1,0,45,0,0,0,0,1,0
16,2016,"Mewis, Samantha",M,14,5,595,4,0,0,0,18,4
17,2016,"Morgan, Alex",F,21,16,1504,17,3,0,0,120,73
18,2016,"Naeher, Alyssa",GK,6,5,495,0,0,0,0,10,0
19,2016,"Ohai, Kealia",F,3,2,100,1,0,0,0,3,1
20,2016,"O'Hara, Kelley",D,22,16,1467,1,4,0,0,91,2
21,2016,"O'Reilly, Heather",M,4,1,165,1,1,0,0,231,47
22,2016,"Press, Christen",F,25,9,1122,12,6,0,0,80,41
23,2016,"Pugh, Mallory",F,17,12,1078,4,7,1,0,17,4
24,2016,"Rapinoe, Megan",M,4,1,131,0,0,0,0,117,31
25,2016,"Sauerbrunn, Becky",D,23,23,1897,0,3,0,0,119,0
26,2016,"Short, Casey",D,4,4,315,0,0,1,0,4,0
27,2016,"Solo, Hope",GK,17,17,1501,0,0,0,0,202,0
28,2016,"Sonnett, Emily",D,8,4,397,0,0,0,0,12,0
29,2016,"Sullivan, Andi",M,4,4,314,0,2,0,0,4,0
30,2016,"Williams, Lynn",F,4,3,225,1,0,1,0,4,1
0,2017,"Brian, Morgan",M,6,2,235,0,0,0,0,69,6
1,2017,"Campbell, Jane",GK,2,0,61,0,0,0,0,2,0
2,2017,"Dahlkemper, Abby",D,11,10,945,0,1,0,0,13,0
3,2017,"Dunn, Crystal",F,12,7,657,4,1,0,0,57,22
4,2017,"Ertz, Julie",F,12,8,719,6,0,0,0,57,14
5,2017,"Harris, Ashlyn",GK,3,3,209,0,0,0,0,14,0
6,2017,"Heath, Tobin",M,4,2,212,0,0,0,0,132,18
7,2017,"Horan, Lindsey",M,13,6,733,1,4,1,0,43,4
8,2017,"Huerta, Sofia",D,3,1,156,0,1,0,0,3,0
9,2017,"Klingenberg, Meghan",D,4,4,225,0,1,0,0,74,3
10,2017,"Krieger, Ali",D,2,1,135,0,0,0,0,98,1
11,2017,"Lavelle, Rose",M,7,7,477,2,1,0,0,7,2
12,2017,"Leroux, Sydney",F,2,0,31,0,0,0,0,77,35
13,2017,"Lloyd, Carli",M,14,8,652,2,2,1,0,246,98
14,2017,"Long, Allie",M,13,7,748,3,0,0,0,33,6
15,2017,"Mewis, Samantha",M,16,16,"1,242",3,1,0,0,34,7
16,2017,"Morgan, Alex",F,14,7,698,7,2,0,0,134,80
17,2017,"Naeher, Alyssa",GK,13,13,"1,170",0,0,1,0,23,0
18,2017,"O'Hara, Kelley",D,13,11,872,0,2,1,0,104,2
19,2017,"Oyster, Megan",D,2,0,58,0,0,0,0,2,0
20,2017,"Press, Christen",F,16,8,741,3,3,1,0,96,44
21,2017,"Pugh, Mallory",F,12,9,756,2,4,0,0,29,6
22,2017,"Rapinoe, Megan",M,12,8,648,3,5,0,0,129,34
23,2017,"Rodriguez, Amy",F,1,0,10,0,0,0,0,130,30
24,2017,"Sauerbrunn, Becky",D,16,16,"1,350",0,1,1,0,135,0
25,2017,"Short, Casey",D,15,13,"1,116",0,1,1,0,19,0
26,2017,"Smith, Taylor",M,7,4,379,0,2,0,0,7,0
27,2017,"Sullivan, Andi",M,3,1,76,0,0,0,0,7,0
28,2017,"Williams, Lynn",F,11,4,484,3,0,1,0,15,4
29,2017,"Zerboni, McCall",M,1,0,45,0,0,0,0,1,0
0,2018,"Brian, Morgan",M,12,7,649,0,0,0,0,81,6
1,2018,"Campbell, Jane",GK,1,1,67,0,0,0,0,3,0
2,2018,"Colaprico, Danielle",M,2,0,59,0,0,0,0,2,0
3,2018,"Dahlkemper, Abby",D,17,16,1358,0,2,0,0,30,0
4,2018,"Davidson, Tierna",D,12,12,1049,1,2,1,0,12,1
5,2018,"Dunn, Crystal",F,18,15,1411,2,2,2,0,75,24
6,2018,"Ertz, Julie",M,16,15,1135,4,0,1,0,73,18
7,2018,"Fox, Emily",D,2,2,139,0,0,0,0,2,0
8,2018,"Hanson, Haley",M,1,0,50,0,0,0,0,1,0
9,2018,"Harris, Ashlyn",GK,5,4,383,0,0,0,0,19,0
10,2018,"Hatch, Ashley",F,1,0,10,0,0,0,0,2,0
11,2018,"Heath, Tobin",F,10,8,657,7,6,2,0,142,25
12,2018,"Horan, Lindsey",M,19,16,1298,3,8,0,0,62,7
13,2018,"Huerta, Sofia",D,4,1,153,0,0,0,0,7,0
14,2018,"Lavelle, Rose",M,13,9,687,4,1,0,0,20,6
15,2018,"Lloyd, Carli",M,19,5,789,7,0,0,0,265,105
16,2018,"Long, Allie",M,7,1,226,0,0,0,0,40,6
17,2018,"Mace, Hailie",D,3,1,137,0,0,0,0,3,0
18,2018,"Mathias, Merritt",D,1,0,13,0,0,0,0,1,0
19,2018,"McCaskill, Savannah",F,6,1,157,0,0,0,0,6,0
20,2018,"McDonald, Jessica",F,2,1,67,1,0,0,0,3,1
21,2018,"McGrady, Tegan",D,1,0,32,0,0,0,0,1,0
22,2018,"Mewis, Samantha",M,7,2,275,1,0,0,0,41,8
23,2018,"Morgan, Alex",F,19,18,1500,18,3,0,0,153,98
24,2018,"Naeher, Alyssa",GK,15,15,1350,0,0,0,0,38,0
25,2018,"O'Hara, Kelley",D,8,8,608,0,0,0,0,112,2
26,2018,"Press, Christen",F,10,4,445,2,4,0,0,106,46
27,2018,"Pugh, Mallory",F,14,10,832,6,3,0,0,43,12
28,2018,"Rapinoe, Megan",F,16,16,1214,7,12,0,0,145,41
29,2018,"Rodriguez, Amy",F,2,0,43,0,0,0,0,132,30
30,2018,"Sauerbrunn, Becky",D,14,12,1109,0,1,0,0,149,0
31,2018,"Short, Casey",D,8,2,271,0,1,0,0,27,0
32,2018,"Smith, Taylor",M,3,3,188,0,0,0,0,10,0
33,2018,"Sonnett, Emily",D,14,9,874,0,1,1,0,26,0
34,2018,"Sullivan, Andi",M,4,4,241,0,0,1,0,11,0
35,2018,"Williams, Lynn",F,4,0,67,0,0,0,0,19,4
36,2018,"Zerboni, McCall",M,6,2,257,0,0,0,0,7,0
0,2019,"Brian, Morgan",M,6,5,439,2,0,0,,87,8.0
1,2019,"Cook, Alana",D,1,1,90,0,0,0,,1,0.0
2,2019,"Dahlkemper, Abby",D,23,21,1877,0,0,1,,53,0.0
3,2019,"Davidson, Tierna",D,13,6,730,0,3,0,,25,1.0
4,2019,"Dunn, Crystal",F,21,20,1617,0,3,0,,96,24.0
5,2019,"Ertz, Julie",M,22,22,1755,1,1,0,,95,19.0
6,2019,"Fox, Emily",D,1,1,53,0,0,0,,3,0.0
7,2019,"Franch, Adrianna",GK,3,2,225,0,0,0,,3,
8,2019,"Hamilton, Kristen",F,1,0,14,0,0,0,,1,0.0
9,2019,"Harris, Ashlyn",GK,5,3,315,0,0,0,,24,
10,2019,"Heath, Tobin",F,20,20,1417,7,5,0,,162,32.0
11,2019,"Horan, Lindsey",M,16,12,986,5,4,3,,78,12.0
12,2019,"Krieger, Ali",D,6,2,292,0,0,0,,104,1.0
13,2019,"Lavelle, Rose",M,18,17,1188,4,4,0,,38,10.0
14,2019,"Lloyd, Carli",M,23,9,974,16,5,2,,288,121.0
15,2019,"Long, Allie",M,11,1,339,2,0,1,,51,8.0
16,2019,"McDonald, Jessica",F,11,1,326,1,1,0,,14,2.0
17,2019,"Mewis, Samantha",M,19,11,1136,6,4,1,,60,14.0
18,2019,"Morgan, Alex",F,16,15,1231,9,3,0,,169,107.0
19,2019,"Naeher, Alyssa",GK,19,19,1620,0,1,0,,57,
20,2019,"O'Hara, Kelley",D,13,13,903,0,3,1,,125,2.0
21,2019,"Press, Christen",F,24,10,1181,5,12,0,,130,51.0
22,2019,"Pugh, Mallory",F,19,7,841,6,2,0,,62,18.0
23,2019,"Purce, Margaret",D,1,1,90,0,0,0,,1,0.0
24,2019,"Rapinoe, Megan",F,15,14,1075,9,7,2,,160,50.0
25,2019,"Sauerbrunn, Becky",D,22,21,1785,0,0,1,,171,0.0
26,2019,"Short, Casey",D,4,2,247,0,0,0,,31,0.0
27,2019,"Sonnett, Emily",D,14,8,741,0,2,0,,40,0.0
28,2019,"Sullivan, Andi",M,4,0,145,0,0,0,,15,0.0
29,2019,"Williams, Lynn",F,2,0,90,2,0,0,,21,6.0
30,2019,"Zerboni, McCall",M,2,0,38,0,0,0,,9,0.0
